red_team_p1_id,red_team_p2_id,yellow_team_p1_id,yellow_team_p2_id,red_team_goals,yellow_team_goals,red_won,played_on
2,7,6,8,6,10,false,'2017-09-11 13:05:59.000000'
4,5,10,15,10,9,true,'2017-09-11 15:04:24.000000'
10,15,4,5,8,10,false,'2017-09-11 15:17:54.000000'
2,7,6,8,10,7,true,'2017-09-11 18:15:59.000000'
6,8,2,7,8,10,false,'2017-09-11 18:41:59.000000'
7,15,4,14,10,1,true,'2017-09-12 13:03:33.000000'
4,14,7,15,5,10,false,'2017-09-12 13:22:10.000000'
8,13,6,14,10,9,true,'2017-09-12 13:40:11.000000'
2,16,7,8,10,7,true,'2017-09-12 14:02:23.000000'
8,13,2,10,2,10,false,'2017-09-12 14:37:39.000000'
5,15,4,14,9,10,false,'2017-09-12 14:55:01.000000'
4,14,2,10,2,10,false,'2017-09-12 15:22:56.000000'
1,3,6,8,10,7,true,'2017-09-12 18:03:39.000000'
1,7,6,8,10,1,true,'2017-09-12 18:18:33.000000'
1,8,6,16,10,4,true,'2017-09-13 13:16:04.000000'
1,12,3,16,10,3,true,'2017-09-13 14:00:42.000000'
3,16,1,12,3,10,false,'2017-09-13 14:22:55.000000'
5,11,2,10,7,10,false,'2017-09-13 14:46:42.000000'
1,8,2,6,10,7,true,'2017-09-13 18:29:43.000000'
4,11,10,15,5,10,false,'2017-09-13 19:02:55.000000'
10,15,4,11,10,5,true,'2017-09-13 19:12:16.000000'
2,10,4,15,10,8,true,'2017-09-13 19:31:44.000000'
1,8,6,16,10,4,true,'2017-09-14 09:00:50.000000'
1,7,6,8,10,9,true,'2017-09-14 13:05:17.000000'
2,10,8,13,10,2,true,'2017-09-14 14:11:00.000000'
6,8,1,7,7,10,false,'2017-09-14 14:27:21.000000'
2,10,4,5,10,2,true,'2017-09-14 14:37:16.000000'
4,5,2,10,10,4,true,'2017-09-14 14:52:16.000000'
7,11,6,8,6,10,false,'2017-09-14 18:21:42.000000'
1,7,6,8,10,1,true,'2017-09-15 13:12:06.000000'
7,15,1,12,6,10,false,'2017-09-15 13:28:25.000000'
4,14,2,10,4,10,false,'2017-09-15 15:11:50.000000'
6,11,2,14,10,7,true,'2017-09-15 19:09:03.000000'
10,11,12,14,10,5,true,'2017-09-15 19:16:01.000000'
12,14,10,11,4,10,false,'2017-09-15 19:36:01.000000'
8,11,2,16,10,9,true,'2017-09-15 20:33:22.000000'
6,11,2,16,8,10,false,'2017-09-15 20:55:48.000000'
8,12,1,6,8,10,false,'2017-09-18 13:02:12.000000'
1,6,8,12,10,2,true,'2017-09-18 13:24:22.000000'
6,17,2,10,7,10,false,'2017-09-18 13:48:47.000000'
1,6,2,8,10,3,true,'2017-09-18 14:24:38.000000'
10,18,4,14,10,7,true,'2017-09-18 14:45:44.000000'
4,14,10,18,8,10,false,'2017-09-18 15:01:16.000000'
2,6,1,7,8,10,false,'2017-09-18 18:24:12.000000'
4,14,8,16,10,7,true,'2017-09-18 18:36:17.000000'
2,13,8,16,10,7,true,'2017-09-18 18:55:10.000000'
8,13,12,16,6,10,false,'2017-09-18 19:15:49.000000'
12,16,8,13,10,9,true,'2017-09-18 19:37:04.000000'
2,12,6,7,10,8,true,'2017-09-19 13:26:08.000000'
3,16,2,8,5,10,false,'2017-09-19 14:03:55.000000'
2,8,3,16,10,5,true,'2017-09-19 14:18:14.000000'
4,5,8,10,5,10,false,'2017-09-19 14:46:05.000000'
2,10,17,6,5,10,false,'2017-09-19 15:05:11.000000'
2,7,6,8,10,6,true,'2017-09-19 18:44:33.000000'
6,8,2,7,7,10,false,'2017-09-19 18:44:54.000000'
6,8,3,16,10,8,true,'2017-09-19 19:02:49.000000'
6,8,16,12,9,10,false,'2017-09-19 19:24:15.000000'
16,12,6,8,6,10,false,'2017-09-19 19:30:57.000000'
10,18,2,5,4,10,false,'2017-09-19 19:52:46.000000'
2,5,10,18,10,5,true,'2017-09-19 20:10:16.000000'
1,7,6,8,5,10,false,'2017-09-20 13:21:24.000000'
2,16,6,8,3,10,false,'2017-09-20 14:36:15.000000'
12,16,6,8,3,10,false,'2017-09-20 14:56:56.000000'
4,5,12,17,10,7,true,'2017-09-20 15:00:11.000000'
12,17,4,5,6,10,false,'2017-09-20 15:08:47.000000'
3,16,6,7,2,10,false,'2017-09-20 18:29:52.780964'
6,7,3,16,8,10,false,'2017-09-20 18:44:33.526970'
3,16,2,12,1,10,false,'2017-09-20 18:54:16.918000'
2,12,3,16,10,3,true,'2017-09-20 19:03:16.928013'
10,17,2,18,10,1,true,'2017-09-20 20:07:50.456749'
10,17,15,18,10,4,true,'2017-09-20 20:09:31.070271'
1,3,6,8,10,8,true,'2017-09-21 09:10:18.663000'
1,8,2,6,10,7,true,'2017-09-21 13:37:11.146262'
4,10,17,5,10,7,true,'2017-09-21 14:55:35.440000'
1,12,15,7,6,10,false,'2017-09-21 15:11:27.539000'
8,4,2,10,4,10,false,'2017-09-21 15:28:16.534000'
17,5,4,10,10,3,true,'2017-09-21 19:36:16.060000'
4,10,17,5,9,10,false,'2017-09-21 19:37:36.299000'
1,7,6,8,10,6,true,'2017-09-22 13:28:20.373000'
2,8,16,6,10,5,true,'2017-09-22 14:12:28.478000'
12,1,8,6,8,10,false,'2017-09-22 14:27:59.812000'
6,17,8,4,10,6,true,'2017-09-22 14:55:45.324000'
2,10,11,5,10,9,true,'2017-09-22 15:23:10.240000'
1,12,4,8,10,7,true,'2017-09-22 18:22:23.444811'
12,1,8,6,10,8,true,'2017-09-22 18:42:13.189000'
6,8,1,12,8,10,false,'2017-09-22 18:53:42.934000'
8,2,16,6,8,10,false,'2017-09-22 19:19:10.747000'
6,16,2,8,8,10,false,'2017-09-22 19:33:12.622000'
12,16,6,8,10,5,true,'2017-09-22 19:43:47.818000'
12,16,6,8,3,10,false,'2017-09-22 19:52:55.603000'
2,12,11,16,10,5,true,'2017-09-22 20:03:40.610000'
16,11,2,12,4,10,false,'2017-09-22 20:17:33.491000'
2,8,6,1,10,8,true,'2017-09-25 13:45:28.003000'
8,3,16,12,5,10,false,'2017-09-25 13:56:27.836000'
10,4,5,17,6,10,false,'2017-09-25 14:47:46.993000'
8,4,5,11,2,10,false,'2017-09-25 14:56:45.160000'
6,17,11,5,9,10,false,'2017-09-25 15:11:27.602000'
7,1,2,6,5,10,false,'2017-09-25 18:17:20.393000'
11,5,6,17,10,3,true,'2017-09-25 18:40:05.556000'
17,5,4,2,10,7,true,'2017-09-25 19:15:29.395000'
2,4,17,5,9,10,false,'2017-09-25 19:30:35.256000'
2,12,11,5,8,10,false,'2017-09-25 19:44:29.809000'
12,10,17,11,10,6,true,'2017-09-25 20:00:56.786000'
8,11,16,3,10,8,true,'2017-09-26 13:59:35.940000'
8,11,3,6,10,9,true,'2017-09-26 14:00:14.378000'
8,6,4,5,10,6,true,'2017-09-26 15:07:56.734000'
8,6,4,5,10,8,true,'2017-09-26 15:08:11.171000'
8,6,1,7,10,9,true,'2017-09-26 18:58:33.007000'
8,6,16,3,9,10,false,'2017-09-26 19:41:40.418000'
4,18,10,5,4,10,false,'2017-09-26 20:19:47.899000'
1,7,8,6,10,6,true,'2017-09-27 15:06:01.697000'
1,7,8,6,10,8,true,'2017-09-27 15:06:09.843000'
1,6,10,17,10,3,true,'2017-09-27 15:06:33.782000'
5,4,17,12,10,9,true,'2017-09-27 16:20:06.533000'
1,7,11,3,10,8,true,'2017-09-27 18:17:56.170000'
17,11,5,4,10,3,true,'2017-09-27 18:48:53.392000'
17,11,5,4,4,10,false,'2017-09-27 18:54:09.562000'
7,1,4,5,10,5,true,'2017-09-27 19:01:40.769000'
1,2,8,16,10,5,true,'2017-09-28 13:30:20.551000'
1,2,6,8,10,4,true,'2017-09-28 13:41:47.373000'
3,16,8,6,10,5,true,'2017-09-28 13:58:00.536000'
1,6,2,11,4,10,false,'2017-09-28 14:19:50.299000'
1,6,3,8,10,5,true,'2017-09-28 18:20:04.434000'
4,10,5,17,8,10,false,'2017-09-28 18:29:35.765000'
4,10,5,17,10,7,true,'2017-09-28 18:30:33.932000'
10,4,17,5,8,10,false,'2017-09-28 20:36:48.037000'
17,5,10,4,10,9,true,'2017-09-28 20:37:03.021000'
8,1,6,16,7,10,false,'2017-09-29 12:58:28.022000'
8,1,6,16,10,7,true,'2017-09-29 12:59:26.420000'
1,19,2,6,10,5,true,'2017-09-29 13:24:21.190000'
1,3,6,8,10,8,true,'2017-09-29 13:29:19.275442'
2,12,16,8,10,7,true,'2017-09-29 14:09:04.962000'
6,1,2,12,10,6,true,'2017-09-29 14:23:15.368000'
